# 300 trucks, Sydney -> Melbourne, released uniformly over 24h, each having already
# worked 0-9 of its 12 hours. A SCENARIO, not observed traffic. Seed 20260921.
id,origin_id,destination_id,capacity,level,consumption,required_amount,release_hour
1,0,51,12.0,4.163,1.0,0.0,0.882
2,0,51,12.0,11.300,1.0,0.0,1.091
3,0,51,12.0,5.542,1.0,0.0,9.098
4,0,51,12.0,10.307,1.0,0.0,7.936
5,0,51,12.0,11.366,1.0,0.0,21.710
6,0,51,12.0,5.684,1.0,0.0,9.734
7,0,51,12.0,6.913,1.0,0.0,20.838
8,0,51,12.0,11.749,1.0,0.0,20.285
9,0,51,12.0,7.479,1.0,0.0,15.384
10,0,51,12.0,8.179,1.0,0.0,6.856
11,0,51,12.0,3.264,1.0,0.0,12.872
12,0,51,12.0,6.799,1.0,0.0,12.225
13,0,51,12.0,10.871,1.0,0.0,20.661
14,0,51,12.0,6.647,1.0,0.0,1.351
15,0,51,12.0,10.307,1.0,0.0,14.004
16,0,51,12.0,5.314,1.0,0.0,13.671
17,0,51,12.0,7.556,1.0,0.0,4.385
18,0,51,12.0,5.376,1.0,0.0,17.031
19,0,51,12.0,5.949,1.0,0.0,12.730
20,0,51,12.0,8.434,1.0,0.0,9.185
21,0,51,12.0,10.264,1.0,0.0,20.863
22,0,51,12.0,5.561,1.0,0.0,10.653
23,0,51,12.0,5.426,1.0,0.0,19.379
24,0,51,12.0,6.314,1.0,0.0,14.772
25,0,51,12.0,9.423,1.0,0.0,4.519
26,0,51,12.0,10.797,1.0,0.0,4.431
27,0,51,12.0,8.561,1.0,0.0,0.072
28,0,51,12.0,7.919,1.0,0.0,18.782
29,0,51,12.0,9.909,1.0,0.0,23.023
30,0,51,12.0,10.780,1.0,0.0,22.857
31,0,51,12.0,8.893,1.0,0.0,3.789
32,0,51,12.0,8.543,1.0,0.0,6.352
33,0,51,12.0,9.602,1.0,0.0,3.643
34,0,51,12.0,11.818,1.0,0.0,4.405
35,0,51,12.0,3.021,1.0,0.0,0.245
36,0,51,12.0,5.349,1.0,0.0,19.291
37,0,51,12.0,6.770,1.0,0.0,15.343
38,0,51,12.0,8.867,1.0,0.0,17.277
39,0,51,12.0,9.104,1.0,0.0,10.878
40,0,51,12.0,4.582,1.0,0.0,12.940
41,0,51,12.0,6.292,1.0,0.0,19.870
42,0,51,12.0,10.142,1.0,0.0,22.220
43,0,51,12.0,7.979,1.0,0.0,13.886
44,0,51,12.0,7.641,1.0,0.0,15.987
45,0,51,12.0,5.243,1.0,0.0,20.480
46,0,51,12.0,9.438,1.0,0.0,4.600
47,0,51,12.0,11.418,1.0,0.0,23.272
48,0,51,12.0,6.162,1.0,0.0,1.312
49,0,51,12.0,8.023,1.0,0.0,23.561
50,0,51,12.0,9.440,1.0,0.0,22.659
51,0,51,12.0,3.441,1.0,0.0,11.484
52,0,51,12.0,9.091,1.0,0.0,20.266
53,0,51,12.0,6.722,1.0,0.0,1.299
54,0,51,12.0,5.944,1.0,0.0,17.118
55,0,51,12.0,4.324,1.0,0.0,18.161
56,0,51,12.0,5.413,1.0,0.0,22.328
57,0,51,12.0,9.857,1.0,0.0,6.442
58,0,51,12.0,6.193,1.0,0.0,20.441
59,0,51,12.0,8.573,1.0,0.0,7.410
60,0,51,12.0,6.595,1.0,0.0,10.816
61,0,51,12.0,5.820,1.0,0.0,17.863
62,0,51,12.0,11.760,1.0,0.0,9.008
63,0,51,12.0,11.418,1.0,0.0,16.788
64,0,51,12.0,5.053,1.0,0.0,4.743
65,0,51,12.0,9.560,1.0,0.0,10.572
66,0,51,12.0,6.357,1.0,0.0,4.451
67,0,51,12.0,5.816,1.0,0.0,15.892
68,0,51,12.0,3.911,1.0,0.0,8.223
69,0,51,12.0,8.143,1.0,0.0,22.526
70,0,51,12.0,7.018,1.0,0.0,16.210
71,0,51,12.0,6.863,1.0,0.0,9.704
